name,latitude,longitude,visits
The Lord Lucan Bar,53.34147945,-6.451569309,2
Pennyhill Pub,53.34781956,-6.423792858,0
The Lucan County Bar,53.35616905,-6.465023294,0
The Ball Alley House,53.3554,-6.4547,0
Reeds on the River,53.35629074,-6.450353861,0
Courtney's of Lucan,53.35629007,-6.450025692,0
O'Neill Sons,53.35698706,-6.450490071,0
Kennys of Lucan,53.35715228,-6.450400177,0
Carrolls Gastro Pub,53.35729042,-6.449583492,0
Residence Bar,53.35764385,-6.449694241,0
The Foxhunter,53.35884541,-6.418849616,0
The Deadman’s Inn,53.35634285,-6.397525534,0
